idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
949,"Covid 19 Impfstoffe: Wir retten drei Leben und setzen zwei aufs Spiel. „Das Nebenwirkungspotenzial der Impfungen ist erschreckend hoch“, lautet eines der Ergebnisse einer aktuellen Risiko Nutzen Analyse der Covid 19 Vakzine. Eine Impfung von Kindern sei verantwortungslos. Von Christian Euler. ",Das Nebenwirkungspotenzial der Impfungen ist erschreckend hoch,Eine Impfung von Kindern sei verantwortungslos,0,0,0,0
950,"Ein ehemaliger Mitarbeiter (m/w) einer Asylbehörde in einer deutschen Kommune packt aus: 'Das ganze System ist krank', sagt er und schildert seine unglaublichen, haarsträubenden Erfahrungen aus der Behördenpraxis exklusiv für meine Seite. Dieser schockierende Bericht ist erstmals 2020 erschienen – aber angesichts der Bluttat von Würzburg leider aktueller denn je: ",Das ganze System ist krank,Dieser schockierende Bericht ist erstmals 2020 erschienen,0,0,0,0
951,"Die Diskussion ums Maskentragen erhitzt die Gemüter. Während die Bundesregierung offen lässt, wann die Maskenpflicht fällt und erst kürzlich FFP2 Masken für Kinder normen ließ, haben acht Wissenschaftler 109 Masken Studien ausgewertet und kommen zu einer beunruhigenden Schlussfolgerung.  Von Christian Euler. ",Während die Bundesregierung offen lässt,wann die Maskenpflicht fällt,0,0,0,0
952,Giganten der Wissenschaft – Angela Merkel:  Kanzlerin sammelt Doktortitel wie andere Schallplatten. In der Bundeskanzlerin scheinen völlig ungeahnte Talente zu schlummern: Insgesamt bringt sie es auf sage und schreibe 17 Ehrendoktorwürden. Ist sie damit auf den Spuren des legendären Sowjet Generalsekretärs Leonid Breschnew? Ein ketzerischer Einwurf aus der Bundespressekonferenz von Boris Reitschuster.,Ist sie damit auf den Spuren des legendären Sowjet Generalsekretärs Leonid Breschnew,Ein ketzerischer Einwurf aus der Bundespressekonferenz von Boris Reitschuster,0,0,0,0
953,"Via Etikettenschwindel: Corona Maßnahmen sollen teilweise um ein Jahr verlängert werden. Trickserei oder normales Verfahren?  Gegen 21:30, fast unbemerkt von der Öffentlichkeit, kurz vor der Sommerpause, im 'Kleingedruckten', sollen heute weitere Grundrechtseinschränkungen durch das Infektionsschutzgesetz erfolgen. Das Prozedere erinnert eher an einen Taschenspieler Trick als an ein transparentes demokratisches Verfahren. ",fast unbemerkt von der Öffentlichkeit,kurz vor der Sommerpause,0,0,0,0
954,"Mein Youtube Kanal ist wieder freigeschaltet – die zweiwöchige Sperre, in den Augen meines Anwalts Joachim Steinhöfel willkürlich und widerrechtlich, war schneller vorbei, als die Justiz entschied: Der Antrag auf eine einstweilige Verfügung gegen Youtube bzw. Google ist noch beim Landgericht Berlin anhängig. Weil der Monopolist Youtube bestimmt, was falsch und richtig ist, was wahr und unwahr, was Sie hören dürfen und was nicht, und wenn die Zensoren ein einziges Wort für falsch befinden, droht jetzt eine komplette Löschung meines Kanals. Deshalb werde ich hier vorerst nur noch eingeschränkt berichten. Meinen aktuellen Bericht von der Bundespressekonferenz unter dem Titel 'Die Bundesregierung, die WHO und die Kinder Impfungen' finden Sie hier:  Bitte abonnieren Sie meine Kanäle auf Odyssee und/oder Rumble, zeigen Sie den Zensoren, die sich aufspielen als Ihre Vormünder und Erzieher, die rote Karte!   ",die zweiwöchige Sperre,die rote Karte,0,0,1,1
955,"Mein Youtube Kanal ist wieder freigeschaltet – die zweiwöchige Sperre, in den Augen meines Anwalts Joachim Steinhöfel willkürlich und widerrechtlich, war schneller vorbei, als die Justiz entschied: Der Antrag auf eine einstweilige Verfügung gegen Youtube bzw. Google ist noch beim Landgericht Berlin anhängig. Weil der Monopolist Youtube bestimmt, was falsch und richtig ist, was wahr und unwahr, was Sie hören dürfen und was nicht, und wenn die Zensoren ein einziges Wort für falsch befinden, droht jetzt eine komplette Löschung meines Kanals. Deshalb werde ich hier vorerst nur noch eingeschränkt berichten. Meinen aktuellen Bericht von der Bundespressekonferenz unter dem Titel 'Die Bundesregierung, die WHO und die Kinder Impfungen' finden Sie hier:  Bitte abonnieren Sie meine Kanäle auf Odyssee und/oder Rumble, zeigen Sie den Zensoren, die sich aufspielen als Ihre Vormünder und Erzieher, die rote Karte!   ",was falsch,was wahr,1,1,1,1
956,"Mein Youtube Kanal ist wieder freigeschaltet – die zweiwöchige Sperre, in den Augen meines Anwalts Joachim Steinhöfel willkürlich und widerrechtlich, war schneller vorbei, als die Justiz entschied: Der Antrag auf eine einstweilige Verfügung gegen Youtube bzw. Google ist noch beim Landgericht Berlin anhängig. Weil der Monopolist Youtube bestimmt, was falsch und richtig ist, was wahr und unwahr, was Sie hören dürfen und was nicht, und wenn die Zensoren ein einziges Wort für falsch befinden, droht jetzt eine komplette Löschung meines Kanals. Deshalb werde ich hier vorerst nur noch eingeschränkt berichten. Meinen aktuellen Bericht von der Bundespressekonferenz unter dem Titel 'Die Bundesregierung, die WHO und die Kinder Impfungen' finden Sie hier:  Bitte abonnieren Sie meine Kanäle auf Odyssee und/oder Rumble, zeigen Sie den Zensoren, die sich aufspielen als Ihre Vormünder und Erzieher, die rote Karte!   ",Die Bundesregierung,die WHO,0,0,1,1
957,"Mein Youtube Kanal ist wieder freigeschaltet – die zweiwöchige Sperre, in den Augen meines Anwalts Joachim Steinhöfel willkürlich und widerrechtlich, war schneller vorbei, als die Justiz entschied: Der Antrag auf eine einstweilige Verfügung gegen Youtube bzw. Google ist noch beim Landgericht Berlin anhängig. Weil der Monopolist Youtube bestimmt, was falsch und richtig ist, was wahr und unwahr, was Sie hören dürfen und was nicht, und wenn die Zensoren ein einziges Wort für falsch befinden, droht jetzt eine komplette Löschung meines Kanals. Deshalb werde ich hier vorerst nur noch eingeschränkt berichten. Meinen aktuellen Bericht von der Bundespressekonferenz unter dem Titel 'Die Bundesregierung, die WHO und die Kinder Impfungen' finden Sie hier:  Bitte abonnieren Sie meine Kanäle auf Odyssee und/oder Rumble, zeigen Sie den Zensoren, die sich aufspielen als Ihre Vormünder und Erzieher, die rote Karte!   ",Die Bundesregierung,Ihre Vormünder,0,0,1,1
958,"Mein Youtube Kanal ist wieder freigeschaltet – die zweiwöchige Sperre, in den Augen meines Anwalts Joachim Steinhöfel willkürlich und widerrechtlich, war schneller vorbei, als die Justiz entschied: Der Antrag auf eine einstweilige Verfügung gegen Youtube bzw. Google ist noch beim Landgericht Berlin anhängig. Weil der Monopolist Youtube bestimmt, was falsch und richtig ist, was wahr und unwahr, was Sie hören dürfen und was nicht, und wenn die Zensoren ein einziges Wort für falsch befinden, droht jetzt eine komplette Löschung meines Kanals. Deshalb werde ich hier vorerst nur noch eingeschränkt berichten. Meinen aktuellen Bericht von der Bundespressekonferenz unter dem Titel 'Die Bundesregierung, die WHO und die Kinder Impfungen' finden Sie hier:  Bitte abonnieren Sie meine Kanäle auf Odyssee und/oder Rumble, zeigen Sie den Zensoren, die sich aufspielen als Ihre Vormünder und Erzieher, die rote Karte!   ",die WHO,Ihre Vormünder,0,0,1,1
959,"Moskau zieht die Schrauben an in Sachen Corona – doch nun gibt es Widerstand: Ein bekannter Schauspieler macht bei einer Preisverleihung mit einem gelben Stern am Revers und bewegenden Worten gegen neue Maßnahmen wie Impf  und Testpflicht mobil – und bekommt Applaus. Es gibt zwar Kritik, aber ein Shitstorm bleibt aus. ",doch nun gibt es Widerstand,bekommt Applaus,0,0,0,0
960,"Moskau zieht die Schrauben an in Sachen Corona – doch nun gibt es Widerstand: Ein bekannter Schauspieler macht bei einer Preisverleihung mit einem gelben Stern am Revers und bewegenden Worten gegen neue Maßnahmen wie Impf  und Testpflicht mobil – und bekommt Applaus. Es gibt zwar Kritik, aber ein Shitstorm bleibt aus. ",doch nun gibt es Widerstand,Es gibt zwar Kritik,0,0,0,0
961,"Moskau zieht die Schrauben an in Sachen Corona – doch nun gibt es Widerstand: Ein bekannter Schauspieler macht bei einer Preisverleihung mit einem gelben Stern am Revers und bewegenden Worten gegen neue Maßnahmen wie Impf  und Testpflicht mobil – und bekommt Applaus. Es gibt zwar Kritik, aber ein Shitstorm bleibt aus. ",bekommt Applaus,Es gibt zwar Kritik,0,0,0,0
962,"Die Bundesregierung, die WHO und die Kinder Impfungen.  Heftiger Diskurs vor (noch) laufender Kamera: Merkels Sprecher Seibert und ich gerieten uns heute beim Thema Impfungen für Kinder heftig in die Haare –  machen Sie sich selbst ein Bild, bald wird es ja keines mehr geben von der Bundespressekonferenz. ",Heftiger Diskurs vor,laufender Kamera,0,0,0,0
963,"Viren mutieren seit Menschengedenken. In Zeiten der Pandemie sind Mutationen jedoch ein probates Mittel, um diffuse Ängste zu schüren. Die üblichen Mahner warnen vor schlimmen Folgen, während Experten widersprechen. Dies wirft die Frage auf: Sind die Virusvarianten nur die Ultima Ratio, um die Zwangsmaßnahmen zu rechtfertigen? Von Christian Euler. ",um diffuse Ängste zu schüren,um die Zwangsmaßnahmen zu rechtfertigen,0,0,0,1
964,"Hauptthema heute in den ARD Tagesthemen: Die Weigerung der UEFA, die Allianz Arena in Regenbogenfarben leuchten zu lassen.  Ein Bericht voller Empörung.  Minutenlang.  Nur eine Perspektive kommt zu Wort.  Verschwiegen wird etwa die Kritik des ungarischen Außenministers, gerade die Deutschen sollten gelernt haben, dass man Sport nicht für Politik instrumentalisiert.  Die öffentlich rechtlichen mit eindeutiger Agenda. Gebührenfinanziert.",Die Weigerung der UEFA,Ein Bericht voller Empörung,0,0,0,0
965,"Weltgesundheitsorganisation: „Kinder sollten nicht gegen Corona geimpft werden!“ – Implizite Kritik an der Bundesregierung.  Die Debatte, ob Kinder gegen Corona geimpft werden sollen, ist in vollem Gange. Gestern änderte die WHO ihre Empfehlung: Kinder sollten nicht geimpft werden, es gäbe noch nicht genügend Beweise für den Einsatz von Vakzinen. ",Kinder sollten nicht gegen Corona geimpft werden,Kinder sollten nicht geimpft werden,0,0,0,0
966,"Explosiv: Spahns Sprecher nannte falsche Zahlen zu Todesfällen nach Impfungen: »Wer kritisiert, wird ausgeschlossen« (Teil 1). Von Transparenz keine Spur im System Spahn. »Der Gesundheitsminister und sein Sprecher informieren die Medien nicht, sondern dirigieren sie«, so der Tagesspiegel. Dafür sorgt Spahns Sprecher Kautz. Der informiert auch mal mit falschen Zahlen und der Unwahrheit. Ein Gastbeitrag von Gregor Amelung. ",Von Transparenz keine Spur im System Spahn,Ein Gastbeitrag von Gregor Amelung,0,0,0,1
967,"Explosiv: Spahns Sprecher nannte falsche Zahlen zu Todesfällen nach Impfungen: »Wer kritisiert, wird ausgeschlossen« (Teil 1). Von Transparenz keine Spur im System Spahn. »Der Gesundheitsminister und sein Sprecher informieren die Medien nicht, sondern dirigieren sie«, so der Tagesspiegel. Dafür sorgt Spahns Sprecher Kautz. Der informiert auch mal mit falschen Zahlen und der Unwahrheit. Ein Gastbeitrag von Gregor Amelung. ",Der Gesundheitsminister,der Unwahrheit,0,0,0,1
968,"Gericht in Portugal: Nur 0,9 % der „Covid Toten“ verifiziert. Auch in Deutschland, Österreich und den USA gibt es Zweifel an den offiziellen Todeszahlen. Wieviele der offiziellen „Corona Toten“ sind wirklich Opfer des SARS Cov 2 Virus und nicht an ganz anderen Krankheiten verstorben und nur in die Corona Statistik geraten, weil ein positiver PCR Test sie dort eingeordnet hat? In Portugal hat ein Gericht dazu jetzt eine aufsehenerregende Feststellung getroffen.  ",Covid Toten,Corona Toten,0,0,0,0
969,"„Kinder können an Spike Protein von Geimpften sterben“. Die Covid 19 Impfung kann sich nicht nur nachteilig auf die Geimpften selbst auswirken, sondern auch auf Nicht Geimpfte. Zu den Betroffenen zählen auch Kinder, wie eine brisante Studie der Sterblichkeit unterschiedlicher Altersgruppen zeigt. Von Christian Euler. ",Kinder können an Spike Protein von Geimpften sterben,Die Covid 19 Impfung kann sich nicht nur nachteilig auf die Geimpften selbst auswirken,0,0,0,0
970,"Betroffene schildern Merkwürdigkeiten:  Jetzt werden mehr Details bekannt zu den  Hausdurchsuchungen im Umfeld des Weimarer Richters, der mit einem Urteil die Maskenpflicht an Schulen aufhob. Unter anderem hatten die Ermittlern Interesse an einem Gutachten zum »Drosten Test«. Von Gregor Amelung. ",Drosten Test,Von Gregor Amelung,0,0,0,0
971,"Unglaublich: Die Baerbock Plagiatyiade geht weiter:  Neue Verdachtsstellen im Buch der Kanzlerkandidatin entdeckt. Täglich grüßt das Murmeltier: Gefühlt vergeht kaum ein Tag, ohne dass wieder neue Merkwürdigkeiten bei Annalena Baerbock auftauchen. Die Grünen drehen den Spieß um und sprechen von „Rufmord“. Doch das ist dreist – denn das Problem gründet tief. ",Die Baerbock Plagiatyiade geht weiter,denn das Problem gründet tief,0,0,0,0
972,"Unglaublich: Die Baerbock Plagiatyiade geht weiter:  Neue Verdachtsstellen im Buch der Kanzlerkandidatin entdeckt. Täglich grüßt das Murmeltier: Gefühlt vergeht kaum ein Tag, ohne dass wieder neue Merkwürdigkeiten bei Annalena Baerbock auftauchen. Die Grünen drehen den Spieß um und sprechen von „Rufmord“. Doch das ist dreist – denn das Problem gründet tief. ",Täglich grüßt das Murmeltier,Gefühlt vergeht kaum ein Tag,0,0,0,0
973,"Symbolpolitik: Die Totengräberin der Demokratie. Der Aufstieg der Symbolpolitik ist nicht Ausdruck einer Politisierung, sondern des fortschreitenden Desinteresses an komplexen Zusammenhängen. Die so entstehende oberflächliche Weltsicht sorgt erst dafür, dass Gesten, Zeichen und symbolische Handlungen so ernst genommen werden. FreiHeitmanns Befreiungsschlag.    PS: Wegen der Umstellung der technischen Adresse meiner Seite (DNS) im Zuge der Serverumstellung kann es kurzfristig bei einigen noch zu Problemen kommen, die Seite zu öffnen. Ich bitte um Ihre Nachsicht! Danke!",Die Totengräberin der Demokratie,FreiHeitmanns Befreiungsschlag,0,0,0,0
974,"Symbolpolitik: Die Totengräberin der Demokratie. Der Aufstieg der Symbolpolitik ist nicht Ausdruck einer Politisierung, sondern des fortschreitenden Desinteresses an komplexen Zusammenhängen. Die so entstehende oberflächliche Weltsicht sorgt erst dafür, dass Gesten, Zeichen und symbolische Handlungen so ernst genommen werden. FreiHeitmanns Befreiungsschlag.    PS: Wegen der Umstellung der technischen Adresse meiner Seite (DNS) im Zuge der Serverumstellung kann es kurzfristig bei einigen noch zu Problemen kommen, die Seite zu öffnen. Ich bitte um Ihre Nachsicht! Danke!",Zeichen und symbolische Handlungen so ernst genommen werden,im Zuge der Serverumstellung kann es kurzfristig bei einigen noch zu Problemen kommen,0,0,0,0
975,"David gegen Goliath: Youtube muss nach Zensur einen Rückzieher machen. Eine gute Nachricht mit hohem Symbolwert: Die Zensur durch Youtube und die Sperrung meines Kanals mit 284.000 Abonnenten dort war unberechtigt. Doch die Zensur Orgie geht weiter: Jetzt hat mich nach LinkedIn auch Twitter gesperrt. Unfassbar!   PS: Wegen der Umstellung der technischen Adresse meiner Seite (DNS) im Zuge der Serverumstellung kann es kurzfristig bei einigen noch zu Problemen kommen, die Seite zu öffnen. Ich bitte um Ihre Nachsicht! Danke!",Doch die Zensur Orgie geht weiter,Jetzt hat mich nach LinkedIn auch Twitter gesperrt,0,0,0,0
976,"Annalena, es reicht! Nicht nur ihre Fehltritte disqualifizieren die Kanzlerkandidatin der Grünen: Die Laxheit, Unkenntnis und Ignoranz, mit der sie reagiert, zeigt, dass sie nicht geeignet ist, ein Land zu regieren. Und nicht nur sie: Die ganzen Grünen sind als mögliche Koalitionspartner nur mit anderem Personal akzeptabel. Von Vera Lengsfeld.  PS: Wegen der Umstellung der technischen Adresse meiner Seite (DNS) im Zuge der Serverumstellung kann es kurzfristig bei einigen noch zu Problemen kommen, die Seite zu öffnen. Ich bitte um Ihre Nachsicht! Danke!",ein Land zu regieren,die Seite zu öffnen,0,0,0,0
977,"„Sie verstehen schon, warum!“ Eigentlich wollte ich die haarsträubende Geschichte hinter meinem Server Umzug für mich behalten. Ich habe sie aber verschiedenen Freunden erzählt. Die meinten, ich müsse sie unbedingt veröffentlichen – dieser Wahnsinn müsse bekannt werden. Diesem Rat habe ich mich gebeugt. Voilà:    PS: Wegen der Serverumstellung kann es kurzfristig bei einigen noch zu Problemen kommen, die Seite zu öffnen. Das liegt an der DNS Umstellung, also der neuen technischen Adresse, und dem Cache in den Browsern. Im Idealfall bitte Browser Cache löschen oder in einem anderen Browser öffnen. Im schlimmsten Fall hilft auch Warten, also Zeit, weil der Cache nach einer Weile automatisch gelöscht wird.",Ich habe sie aber verschiedenen Freunden erzählt,ich müsse sie unbedingt veröffentlichen,1,0,0,1
978,"Kämpfer für Buntheit, Offenheit und Toleranz sowie gegen Hass und Hetze bei der Arbeit – frisch aus meinem Posteingang. Gott sei Dank kann ich darüber lachen, weil sie sich so herrlich selbst entlarven und demaskieren, wie man es selbst mit noch so viel journalistischer Arbeit gar nicht hin bekommen würde : )))  …Serverwechsel wegen massiver Einschränkung der Meinungsfreiheit… Pfffft…zum Totlachen, Du widerliches demokratiefeindliches Subjekt.  Du verpisst Dich, genau wie Schiffmann, Janich, Jevsen, Hildmann & Co.! Peinlicher Lauch bist Du! Sonst einfach nur ein narzistisches Nichts! Der Anfang Deines Endes ist gekommen, Wichsgriffel! ﻿ …kannst Du nicht endlich Deine ekelhafte Lügenfresse halten.  Du bist kein Journalist, sondern ein widerwärtiger Volksverhetzer und Meinungsmacher aus dem tiefsten Schwurblistan.  Solche widerlichen Zeitgenossen braucht kein Mensch.  Verpiss Dich endlich",Hetze bei der Arbeit,frisch aus meinem Posteingang,0,0,0,0
979,"Kämpfer für Buntheit, Offenheit und Toleranz sowie gegen Hass und Hetze bei der Arbeit – frisch aus meinem Posteingang. Gott sei Dank kann ich darüber lachen, weil sie sich so herrlich selbst entlarven und demaskieren, wie man es selbst mit noch so viel journalistischer Arbeit gar nicht hin bekommen würde : )))  …Serverwechsel wegen massiver Einschränkung der Meinungsfreiheit… Pfffft…zum Totlachen, Du widerliches demokratiefeindliches Subjekt.  Du verpisst Dich, genau wie Schiffmann, Janich, Jevsen, Hildmann & Co.! Peinlicher Lauch bist Du! Sonst einfach nur ein narzistisches Nichts! Der Anfang Deines Endes ist gekommen, Wichsgriffel! ﻿ …kannst Du nicht endlich Deine ekelhafte Lügenfresse halten.  Du bist kein Journalist, sondern ein widerwärtiger Volksverhetzer und Meinungsmacher aus dem tiefsten Schwurblistan.  Solche widerlichen Zeitgenossen braucht kein Mensch.  Verpiss Dich endlich",Hetze bei der Arbeit,Meinungsmacher aus dem tiefsten Schwurblistan,0,0,0,0
980,"Kanzleramtsminister: Lockdown nur noch für Ungeimpfte. Unglaubliche Aussagen aus dem Hause Merkel.   Auf dem Weg in die Zwei Klassen Gesellschaft: Helge Braun kündigt an, dass grundlegende Menschenrechte künftig faktisch nur noch für Geimpfte uneingeschränkt gelten. Statt mit einem Aufschrei reagieren viele Medien mit Apportieren.   WARNHINWEIS: Dieser Artikel hat nicht die Vorzensur durchlaufen, die Lauterbach & Co. faktisch fordern. Sobald deren Einschätzung vorliegt, ob so etwas veröffentlicht werden darf oder nicht, ist sie auf Twitter nachzulesen, dem Zentralorgan des regierungskonformen Kommentierwesens. Bis zur kompetenten Einschätzung durch Lauterbach & Co. Lesen nur auf eigene Gefahr!   ",Helge Braun kündigt an,Dieser Artikel hat nicht die Vorzensur durchlaufen,0,0,0,0
981,"Schuldzuweisung an Impfmuffel: Hat sich Söder verplappert? Oder drohte er? – Ministerpräsident zeigt Tendenz zum Impf Totalitarismus.  Söder ist jetzt in der Öffentlichkeit mit seinem Koalititonspartner Aiwanger aneinandergeraten – weil der sich nicht impfen lassen will. Was der CSU Chef dabei aus seiner Denkwelt offenbarte, ist verstörend, ja beängstigend.  ",Ministerpräsident zeigt Tendenz zum Impf Totalitarismus,Söder ist jetzt in der Öffentlichkeit mit seinem Koalititonspartner Aiwanger aneinandergeraten,0,0,0,0
982,"Wahrscheinlich sollte man jetzt alles, was man veröffentlicht, vorher von den 'Faktencheckern' darauf prüfen lassen, dass es mit den regierungsamtlichen 'Wahrheiten' konform geht – sonst droht einem Post wie diese, die ich gerade von Twitter bekam.  Drei Monate vor den Bundestagswahlen wird offenbar tabula rasa gemacht. Erst Youtube, dann LinkedIn, jetzt Twitter, und bei Telegram will die Regierung jetzt gleich gegen das ganze Netzwerk vorgehen, weil es nicht artig kuscht....  Gilt Meinungsfreiheit in Deutschland 2021 nur noch für die richtigen Meinungen?  Was kommt als nächstes?",Erst Youtube,dann LinkedIn,0,0,0,0
983,"Wahrscheinlich sollte man jetzt alles, was man veröffentlicht, vorher von den 'Faktencheckern' darauf prüfen lassen, dass es mit den regierungsamtlichen 'Wahrheiten' konform geht – sonst droht einem Post wie diese, die ich gerade von Twitter bekam.  Drei Monate vor den Bundestagswahlen wird offenbar tabula rasa gemacht. Erst Youtube, dann LinkedIn, jetzt Twitter, und bei Telegram will die Regierung jetzt gleich gegen das ganze Netzwerk vorgehen, weil es nicht artig kuscht....  Gilt Meinungsfreiheit in Deutschland 2021 nur noch für die richtigen Meinungen?  Was kommt als nächstes?",Erst Youtube,jetzt Twitter,0,0,0,0
984,"Wahrscheinlich sollte man jetzt alles, was man veröffentlicht, vorher von den 'Faktencheckern' darauf prüfen lassen, dass es mit den regierungsamtlichen 'Wahrheiten' konform geht – sonst droht einem Post wie diese, die ich gerade von Twitter bekam.  Drei Monate vor den Bundestagswahlen wird offenbar tabula rasa gemacht. Erst Youtube, dann LinkedIn, jetzt Twitter, und bei Telegram will die Regierung jetzt gleich gegen das ganze Netzwerk vorgehen, weil es nicht artig kuscht....  Gilt Meinungsfreiheit in Deutschland 2021 nur noch für die richtigen Meinungen?  Was kommt als nächstes?",dann LinkedIn,jetzt Twitter,1,0,0,0
985,"Die Verpflichtung zum Tragen von Masken gehört seit über einem Jahr zum Alltag. Trotz schwacher Datenlage lässt die Bundesregierung nun FFP2 Masken für Kinder normieren. Eine neue Studie offenbart jedoch inakzeptabel hohe Kohlendioxidwerte. Von Christian Euler.   PS: Weil Herr Lauterbach mir ja abspricht, Journalist zu sein, weil ich Berichte über Studien, die ihm nicht passen, auf meiner Seite veröffentliche, hier vorsorglich der Hinweis, dass ich trotzdem nicht vorab Herrn Lauterbach um Genehmigung fragen werde, was ich veröffentlichen darf und was nicht.  ",weil ich Berichte über Studien,auf meiner Seite veröffentliche,0,0,0,0
986,"Das totalitäre Denken in Deutschland ist ein Untoter. Diejenigen, die ihm verfallen sind, bemerken gar nicht, in was für einer Tradition sie damit stehen.  Sie verstehen auch nicht, dass das Totalitäre immer in der Überzeugung auftritt, das 'Gute' zu sein. Nur der Lack wechselt. (SuspendReitschuster ist gerade ganz oben in den Twitter Trends. Hass und Hetze von den selbst ernannten Kämpfern gegen Hass und Hetze.)",in was für einer Tradition sie damit stehen,Nur der Lack wechselt,0,0,0,0
987,"Mehr als die Hälfte aller Delta Toten in Großbritannien war geimpft – Weitaus geringere Todesrate bei neuer Variante als bei den alten auf der Insel. Neue Zahlen aus Großbritannien, die sehr überraschen: Sowohl, was den Anteil der Geimpften an den 'Delta Toten' angeht – als auch der auffallend geringe Anteil von 'Delta Positiven' an der Gesamtzahl der Corona Toten. ",was den Anteil der Geimpften an den,Delta Positiven,0,0,0,0
988,"Corona: Deutschland im Griff der „weißen Folter“. Wie die Bevormundung der Bürger zur Norm wurde. Mit welchen Methoden schaffen es die Regierrungen, ihre Corona Maßnahmen durchzusetzen und zu manifestieren? Mit dem Einsatz der „weißen Folter“, die ein organisiertes System aus psychologischer Intervention darstellt, kann der Bevölkerung die gewünschte Konformität aufgezwungen werden. Von Bodo Neumann. ",weißen Folter,weißen Folter,0,0,0,0
989,"Karl Kassandra Lauterbachs Quadratur der Impfung. Es könne sein, dass „Impfungen ohne jeden Lockdown…nicht so stark wirken“, warnte der Sozialdemokrat in der Tagesschau. Deren Journalisten schien die Absurdität der Aussage gar nicht aufzufallen. Prof. Thomas Rießinger hat sie aufgespießt. ",dass „Impfungen ohne jeden Lockdown,warnte der Sozialdemokrat in der Tagesschau,0,0,0,0
990,Regierung will Virus offenbar 'vollständig besiegen“. Maßnahmen beenden oder Ungeimpfte wegsperren?  Herrscht 'hü und hott' in der Bundesregierung bei Corona? Bei dieser Frage weicht Merkels Sprecherin aus – und befremdet dafür mit dem Tenor ihrer Antwort. Mein Bericht von der heutigen Bundespressekonferenz. Weitere Themen: Delta und 80 Prozent Fehler bei Schnelltests.,in der Bundesregierung bei Corona,80 Prozent Fehler bei Schnelltests,0,0,0,1
991,"Gesichtsmasken für Kinder: „Nutzlos und schädlich“. Forschungsarbeiten zur Wirkung von Masken widersprechen sich – eine Klarstellung. Kürzlich berichtete ein Forscherteam, dass Masken die Übertragung von Coronaviren deutlich hemmen. Fünf Tage später war zu lesen, dass für Kinder diese Mund  und Nasen Bedeckungen schädlich sind.  Wie sind diese Forschungsergebnisse zu interpretieren? Ein Gastbeitrag von Prof. Ulrich Kutschera. ",Forschungsarbeiten zur Wirkung von Masken widersprechen sich,dass Masken die Übertragung von Coronaviren deutlich hemmen,0,0,0,1
992,"Gesichtsmasken für Kinder: „Nutzlos und schädlich“. Forschungsarbeiten zur Wirkung von Masken widersprechen sich – eine Klarstellung. Kürzlich berichtete ein Forscherteam, dass Masken die Übertragung von Coronaviren deutlich hemmen. Fünf Tage später war zu lesen, dass für Kinder diese Mund  und Nasen Bedeckungen schädlich sind.  Wie sind diese Forschungsergebnisse zu interpretieren? Ein Gastbeitrag von Prof. Ulrich Kutschera. ",dass Masken die Übertragung von Coronaviren deutlich hemmen,dass für Kinder diese Mund  und Nasen Bedeckungen schädlich sind,0,0,0,1
993,"Gesichtsmasken für Kinder: „Nutzlos und schädlich“. Forschungsarbeiten zur Wirkung von Masken widersprechen sich – eine Klarstellung. Kürzlich berichtete ein Forscherteam, dass Masken die Übertragung von Coronaviren deutlich hemmen. Fünf Tage später war zu lesen, dass für Kinder diese Mund  und Nasen Bedeckungen schädlich sind.  Wie sind diese Forschungsergebnisse zu interpretieren? Ein Gastbeitrag von Prof. Ulrich Kutschera. ",dass Masken die Übertragung von Coronaviren deutlich hemmen,Ein Gastbeitrag von Prof. Ulrich Kutschera,0,0,0,1
994,"Gesichtsmasken für Kinder: „Nutzlos und schädlich“. Forschungsarbeiten zur Wirkung von Masken widersprechen sich – eine Klarstellung. Kürzlich berichtete ein Forscherteam, dass Masken die Übertragung von Coronaviren deutlich hemmen. Fünf Tage später war zu lesen, dass für Kinder diese Mund  und Nasen Bedeckungen schädlich sind.  Wie sind diese Forschungsergebnisse zu interpretieren? Ein Gastbeitrag von Prof. Ulrich Kutschera. ",dass für Kinder diese Mund  und Nasen Bedeckungen schädlich sinddass für Kinder diese Mund  und Nasen Bedeckungen schädlich sind,Ein Gastbeitrag von Prof. Ulrich Kutschera,0,1,1,1
995,"Psychiatrische Triage bei Kindern? Offenbar dramatische Folgen der Corona Krise „Es gibt psychiatrische Erkrankungen in einem Ausmaß, wie wir es noch nie erlebt haben', warnt der Sprecher des Bundesverbandes der Kinder  und Jugendärzte. Mittlerweile müsse sehr genau hingeschaut werden, wer wann behandelt werde. Die Deutsche Gesellschaft für Kinder  und Jugendpsychiatrie beschwichtigt derweil und spielt die Probleme herunter. Von Christian Euler. ",Psychiatrische Triage bei Kindern,Die Deutsche Gesellschaft für Kinder,0,0,0,0
996,"Bei Lanz: Die Hinrichtung der Idee einer grünen Kanzlerin Annalena Baebock. Tut das weh: Talkmaster verbeißt sich in Grüne. Seit Wochen demontieren sich die Grünen selbst. Doch gestern bei Lanz in ZDF setzten sie der Selbstentlarvung eine Krone auf. Besser als der Fraktions Vize dort kann man nicht beweisen, dass die Partei nicht regierungsfähig ist. Von Alexander Wallasch.  ",Die Hinrichtung der Idee einer grünen Kanzlerin Annalena Baebock,Doch gestern bei Lanz in ZDF setzten sie der Selbstentlarvung eine Krone auf,0,0,0,0
